"categoria","juris_ok","juris_abrev","anio","anio_fecha","id","value_proy","share_proy","value_exec","share_exec","rel_exec_proy"
"Exterior","Ministerio de Relaciones Exteriores y Culto","Cancillería",2009,"01/01/2009","121",1634844897,0.00699196747174799,1748233088,0.00719188916288321,1.0693571550476
"Básico","Ministerio de Salud","Salud",2009,"01/01/2009","122",4758018214,0.0203492751167529,6101413225,0.0251000212456508,1.28234339394649
"Básico","Ministerio de Trabajo, Empleo y Seguridad Social","Trabajo",2009,"01/01/2009","123",89560647452,0.383036418245048,90223318159,0.371161093198046,1.00739912814225
"Institucional","Ministerio Público","Ministerio Público",2009,"01/01/2009","124",708122458,0.00302852533682908,736730458,0.00303076508116987,1.04039979198061
"Financiero","Obligaciones a Cargo del Tesoro","Obligaciones a Cargo del Tesoro",2009,"01/01/2009","125",15718691130,0.0672263021899464,14662872967,0.0603201929490654,0.932830402081958
"Institucional","Poder Judicial de la Nación","Poder Judicial",2009,"01/01/2009","126",2577064365,0.0110216878957423,2913344769,0.0119849308514595,1.13048971867647
"Institucional","Poder Legislativo Nacional","Poder Legislativo",2009,"01/01/2009","127",1201232743,0.00513747835067844,1430752743,0.00588583708761558,1.19107038276928
"Ejecutivo","Presidencia de la Nación","Presidencia",2009,"01/01/2009","128",1796636030,0.00768392200592375,1447499686,0.00595473073726668,0.80567219059945
"Financiero","Servicio de la Deuda Pública","Deuda Publica",2009,"01/01/2009","129",24512553000,0.104836228525414,24502712421,0.100799368877884,0.999598549404462
"TOTAL","TOTAL","TOTAL",2009,"01/01/2009","130",233817577614,1,243083986475,1,1.03963093346343
"Ejecutivo","Jefatura de Gabinete de Ministros","Jefatura de Gabinete",2010,"01/01/2010","131",2391758879,0.00875687007536332,2656992081,0.00843167941143071,1.11089462417336
"Productivo","Ministerio de Ciencia, Tecnología e Innovación Productiva","Ciencia",2010,"01/01/2010","132",2115730407,0.00774625588359509,2236169224,0.00709624320723588,1.05692540817182
"Exterior","Ministerio de Defensa","Defensa",2010,"01/01/2010","133",12605512883,0.046152160035422,13918995872,0.0441704406125144,1.10419909139686
